Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,season
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,1911,2351,81.3,44144,15836,410,480,85.4,1138,1224,93,349,604,57.8,3,1.7,1.9,1.3,20,151,11,2,100,21/22
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,438,702,62.4,6545,1294,252,324,77.8,121,192,63,37,63,58.7,8,6,5,2,45,24,27,12,46,21/22
Cameron Archer,eng ENG,FWMF,Aston Villa,20,2001,0.3,4,4,100,62,29,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,21/22
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,21,40,52.5,785,656,2,2,100,8,8,100,11,30,36.7,0,0,0,0,0,0,0,0,0,21/22
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,229,324,70.7,3453,610,111,142,78.2,93,126,73.8,12,22,54.5,2,1.6,1.4,0.4,13,11,13,0,30,21/22
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,590,744,79.3,8618,2144,321,386,83.2,217,250,86.8,25,42,59.5,0,1.5,1.4,-1.5,25,46,23,4,83,21/22
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,115,138,83.3,2398,1340,36,36,100,55,55,100,21,44,47.7,0,0,0,0,0,1,0,0,0,21/22
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,7,7,100,110,8,5,5,100,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,21/22
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,137,208,65.9,1801,404,90,115,78.3,37,64,57.8,4,9,44.4,1,1,0.9,0,9,6,8,0,26,21/22
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,576,754,76.4,7894,1509,346,389,88.9,180,228,78.9,17,54,31.5,3,2.8,2.9,0.2,23,31,16,6,51,21/22
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1224,1592,76.9,22964,10551,535,606,88.3,517,619,83.5,154,294,52.4,2,1.8,1,0.2,12,98,11,4,135,21/22
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,1486,1787,83.2,22185,8377,809,904,89.5,565,643,87.9,65,139,46.8,2,1.8,2.3,0.2,17,104,19,2,138,21/22
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,216,364,59.3,7080,5483,19,19,100,104,109,95.4,93,234,39.7,0,0,0,0,0,9,0,0,0,21/22
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,150,226,66.4,2354,518,76,95,80,47,66,71.2,15,36,41.7,2,0.8,1.1,1.2,7,6,9,1,24,21/22
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,68,85,80,1229,484,28,31,90.3,36,40,90,4,13,30.8,0,0,0,0,0,3,0,0,5,21/22
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,4,9,44.4,46,7,3,4,75,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,21/22
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,88,108,81.5,1103,200,60,68,88.2,20,25,80,3,6,50,2,1.1,0.4,0.9,5,5,6,1,12,21/22
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,257,308,83.4,3885,900,140,156,89.7,85,99,85.9,17,30,56.7,0,0.5,0.5,-0.5,9,21,6,1,35,21/22
Ross Barkley,eng ENG,MFFW,Chelsea,27,1993,2,106,128,82.8,1633,369,59,66,89.4,32,39,82.1,9,11,81.8,0,0.5,0.7,-0.5,8,6,7,0,14,21/22
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,122,198,61.6,1577,452,81,108,75,30,52,57.7,5,10,50,0,0.9,1,-0.9,8,21,5,1,17,21/22
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,550,756,72.8,6899,1906,366,442,82.8,137,199,68.8,15,34,44.1,10,4.6,3.2,5.4,29,26,24,7,59,21/22
