Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,season
Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,1934,207,1087,806,51,23,1934,4,3,75,1,25,1122,5979,3577,12,8,0,7,1,1242,1,20/21
Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,8,0,0,7,1,0,8,0,0,,0,,5,27,7,0,0,0,2,0,5,1,20/21
Jack Cork,eng ENG,MF,Burnley,31,1989,15,639,26,106,397,143,13,639,7,5,71.4,2,28.6,322,1337,520,8,11,1,14,13,375,13,20/21
Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,12.8,497,9,92,182,230,44,497,48,19,39.6,29,60.4,303,2135,1162,47,17,13,43,20,337,84,20/21
Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,2096,162,629,897,588,42,2096,24,15,62.5,9,37.5,897,4638,2079,70,38,9,36,16,1057,159,20/21
Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,2366,169,758,1071,555,14,2366,10,4,40,6,60,1148,5201,2524,35,31,0,13,9,1349,96,20/21
Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,4,0,0,1,3,1,4,0,0,,0,,2,5,0,0,0,0,1,0,4,3,20/21
Stuart Dallas,nir NIR,MFDF,Leeds United,29,1991,37.9,2600,86,691,1299,636,58,2600,33,22,66.7,11,33.3,1475,8193,4303,95,68,10,53,34,1747,126,20/21
Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,769,103,424,324,25,17,769,4,4,100,0,0,397,1543,779,2,0,0,5,0,446,0,20/21
Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,808,697,802,7,0,0,808,0,0,,0,,336,2189,1341,0,0,0,1,0,226,0,20/21
Ben Davies,wls WAL,DF,Tottenham,27,1993,15,954,77,305,462,192,13,954,7,3,42.9,4,57.1,469,2152,1221,28,20,3,5,2,554,55,20/21
Tom Davies,eng ENG,MF,Everton,22,1998,15.8,866,57,278,497,105,4,866,24,18,75,6,25,507,2495,1166,11,7,1,21,10,576,17,20/21
Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,118,3,8,46,67,29,118,12,9,75,3,25,73,401,182,7,6,4,10,4,97,37,20/21
Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,25,3,16,7,3,0,25,0,0,,0,,15,100,46,1,2,0,1,1,17,0,20/21
Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,961,164,540,396,32,21,961,0,0,,0,,522,2266,1078,2,3,0,5,0,537,1,20/21
Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,1686,13,105,715,890,92,1683,67,48,71.6,19,28.4,1029,5855,3560,102,88,25,45,33,1285,186,20/21
Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,10,0,0,7,3,1,10,0,0,,0,,5,7,0,0,0,0,3,1,7,1,20/21
Fabian Delph,eng ENG,MFDF,Everton,30,1989,3,268,7,70,170,32,0,268,10,7,70,3,30,170,840,390,2,7,0,4,0,208,4,20/21
Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,1488,95,435,834,227,59,1488,13,7,53.8,6,46.2,727,3396,1628,15,12,4,30,11,967,31,20/21
Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,346,20,51,152,147,42,346,16,10,62.5,6,37.5,186,754,288,4,2,4,26,19,280,60,20/21
Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,93,3,19,49,28,1,93,14,5,35.7,9,64.3,63,431,227,9,6,0,5,5,64,7,20/21
Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,722,26,164,468,102,9,722,17,10,58.8,7,41.2,410,1972,897,11,15,0,20,15,496,13,20/21
Grady Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,579,19,123,218,250,28,579,49,25,51,24,49,309,1641,818,25,25,7,52,38,378,84,20/21
Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,2954,245,1046,1846,74,29,2954,8,6,75,2,25,2087,11819,7375,38,19,0,10,4,2369,5,20/21
Eric Dier,eng ENG,DF,Tottenham,26,1994,28,2057,334,1136,875,56,21,2057,4,3,75,1,25,1249,6795,3953,21,7,2,12,1,1427,6,20/21
Lucas Digne,fr FRA,DFMF,Everton,27,1993,29.8,2026,100,546,836,657,35,2026,28,18,64.3,10,35.7,905,4384,2316,59,33,3,33,20,1088,197,20/21
Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,735,106,364,362,11,8,735,5,3,60,2,40,365,1845,864,4,0,0,6,2,433,1,20/21
Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,647,16,132,307,214,38,647,52,27,51.9,25,48.1,350,1804,846,28,18,15,49,17,392,78,20/21
Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,1018,59,319,468,240,15,1018,17,5,29.4,12,70.6,486,2013,1050,18,20,1,19,9,592,68,20/21
Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,1759,210,858,848,56,27,1759,6,5,83.3,1,16.7,1249,6992,4082,18,6,2,5,6,1329,8,20/21
Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,1598,61,423,881,316,33,1598,33,21,63.6,12,36.4,857,4317,1973,34,41,3,35,26,1040,70,20/21
Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,467,400,465,2,0,0,467,0,0,,0,,232,1356,698,0,0,0,1,0,165,0,20/21
Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,717,85,367,294,59,5,717,4,3,75,1,25,317,1091,621,2,2,0,9,0,416,5,20/21
Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,2511,361,1412,997,114,48,2511,8,6,75,2,25,1514,7618,3763,27,15,0,12,1,1743,7,20/21
Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,194,27,103,72,20,14,194,2,1,50,1,50,85,344,43,0,0,0,1,1,96,1,20/21
Ederson,br BRA,GK,Manchester City,26,1993,36,1174,948,1169,5,0,0,1174,0,0,,0,,755,3576,2401,0,0,0,2,0,669,0,20/21
Kyle Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,50,0,10,22,19,4,50,4,1,25,3,75,28,258,142,5,2,2,1,1,33,4,20/21
John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,1435,207,741,656,50,25,1435,0,0,,0,,732,4302,2399,11,9,1,5,1,789,2,20/21
Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,84,2,15,33,39,5,84,7,3,42.9,4,57.1,57,262,68,2,3,0,8,2,65,13,20/21
Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,693,36,228,273,195,14,693,3,2,66.7,1,33.3,314,1108,567,10,6,1,5,3,374,36,20/21
Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,1119,59,327,659,138,6,1119,7,4,57.1,3,42.9,756,3335,1586,17,15,1,7,4,848,12,20/21
