Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,season
N'Golo Kanté,fr FRA,MF,Chelsea,25,1991,35,35,3138,34.9,1,1,2,1,0,0,9,0,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,16/17
Loris Karius,de GER,GK,Liverpool,23,1993,10,10,900,10,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Michael Keane,eng ENG,DF,Burnley,23,1993,35,35,3150,35,2,1,3,2,0,0,4,0,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,16/17
Will Keane,ie IRL,FW,Hull City,23,1993,5,4,280,3.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Martin Kelly,eng ENG,DF,Crystal Palace,26,1990,29,25,2123,23.6,0,2,2,0,0,0,4,0,,,,,,,,0,0.08,0.08,0,0.08,,,,,,16/17
Kenedy,br BRA,FWMF,Watford,20,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Kenedy,br BRA,MF,Chelsea,20,1996,1,1,74,0.8,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Jonjoe Kenny,eng ENG,DFFW,Everton,19,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Wahbi Khazri,tn TUN,MFFW,Sunderland,25,1991,21,7,849,9.4,1,0,1,1,0,0,6,0,,,,,,,,0.11,0,0.11,0.11,0.11,,,,,,16/17
Michael Kightly,eng ENG,MF,Burnley,30,1986,5,1,104,1.2,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Andy King,wls WAL,MF,Leicester City,27,1988,23,15,1446,16.1,1,0,1,1,0,0,4,0,,,,,,,,0.06,0,0.06,0.06,0.06,,,,,,16/17
Joshua King,no NOR,MFFW,Bournemouth,24,1992,36,31,2713,30.1,16,2,18,14,2,3,1,0,,,,,,,,0.53,0.07,0.6,0.46,0.53,,,,,,16/17
Stephen Kingsley,sct SCO,DF,Swansea City,22,1994,13,12,1036,11.5,0,1,1,0,0,0,0,0,,,,,,,,0,0.09,0.09,0,0.09,,,,,,16/17
Jan Kirchhoff,de GER,MF,Sunderland,25,1990,7,5,433,4.8,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Ragnar Klavan,ee EST,DF,Liverpool,30,1985,20,15,1410,15.7,0,0,0,0,0,0,3,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Aleksandar Kolarov,rs SRB,DF,Manchester City,30,1985,29,27,2535,28.2,1,2,3,1,0,0,6,0,,,,,,,,0.04,0.07,0.11,0.04,0.11,,,,,,16/17
Vincent Kompany,be BEL,DF,Manchester City,30,1986,11,10,820,9.1,3,0,3,3,0,0,5,0,,,,,,,,0.33,0,0.33,0.33,0.33,,,,,,16/17
Arouna Koné,ci CIV,FW,Everton,32,1983,5,0,70,0.8,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,16/17
Lamine Koné,ci CIV,DF,Sunderland,27,1989,30,29,2545,28.3,1,0,1,1,0,0,4,0,,,,,,,,0.04,0,0.04,0.04,0.04,,,,,,16/17
Laurent Koscielny,fr FRA,DF,Arsenal,30,1985,33,33,2822,31.4,2,0,2,2,0,0,4,1,,,,,,,,0.06,0,0.06,0.06,0.06,,,,,,16/17
Cheikhou Kouyaté,sn SEN,MFDF,West Ham,26,1989,31,31,2722,30.2,1,0,1,1,0,0,3,0,,,,,,,,0.03,0,0.03,0.03,0.03,,,,,,16/17
Bojan Krkić,es ESP,MFFW,Stoke City,25,1990,9,5,475,5.3,3,0,3,1,2,3,1,0,,,,,,,,0.57,0,0.57,0.19,0.19,,,,,,16/17
