Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_pk,season
Bernd Leno,de GER,GK,Arsenal,26,1992,32,31,2835,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0,18/19
Hugo Lloris,fr FRA,GK,Tottenham,31,1986,33,33,2970,33,33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40,18/19
Jonas Lössl,dk DEN,GK,Huddersfield,29,1989,31,30,2777,30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20,18/19
Alex McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,25,44,1.76,119,78,64.7,5,8,12,4,16,2,2,0,0,0,18/19
Will Norris,eng ENG,GK,Wolves,24,1993,1,0,,0,0,,0,0,,0,0,0,1,,0,0,0,0,,18/19
Rui Patrício,pt POR,GK,Wolves,30,1988,37,37,3330,37,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0,18/19
Jordan Pickford,eng ENG,GK,Everton,24,1994,38,38,3420,38,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60,18/19
Sergio Rico,es ESP,GK,Fulham,24,1993,29,29,2610,29,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0,18/19
John Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,18/19
Mathew Ryan,au AUS,GK,Brighton,26,1992,34,34,3060,34,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0,18/19
Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,3420,38,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0,18/19
Julián Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,1,4,4,9,5,55.6,0,0,1,0,0,0,0,0,0,,18/19
Mark Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,2,5,2.5,13,9,61.5,1,0,1,1,50,0,0,0,0,,18/19
Michel Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,2,4,2,13,9,69.2,0,0,2,0,0,0,0,0,0,,18/19
Adrián,es ESP,GK,West Ham,30,1987,19,19,1710,19,29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,0,17/18
Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,3420,38,61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,0,33.3,17/18
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,1,0.4,5,4,80,2,0,0,2,100,0,0,0,0,,17/18
Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,35,61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,0,17/18
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,17/18
Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,3039,33.8,48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,0,16.7,17/18
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,35,34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,0,17/18
Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10,15,1.5,47,34,74.5,1,5,4,2,20,3,3,0,0,0,17/18
Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,12,11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,0,100,17/18
Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,35.5,26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,0,100,17/18
Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,16,21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,0,50,17/18
Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,3420,38,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50,17/18
Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,20,30,1.5,97,66,69.1,4,7,9,4,20,1,0,1,0,100,17/18
Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,37,55,1.49,151,98,64.2,6,12,19,10,27,1,1,0,0,0,17/18
Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,17/18
