"","season","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","reg_season","after_covid","is_VAR"
"56",2016,"2017-02-18",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Atlas",42.15,37.16,0.4943,0.2376,0.2681,1.62,1.08,NA,NA,0,1,1.1,0.56,2.09,0.47,0,1.05,0,0,0
"57",2016,"2017-02-18",1975,"Mexican Primera Division Torneo Clausura","Morelia","Toluca",36.8,43.32,0.3691,0.3494,0.2816,1.34,1.34,NA,NA,1,2,0.63,1.09,1.17,1.44,1.05,2.1,0,0,0
"58",2016,"2017-02-18",1975,"Mexican Primera Division Torneo Clausura","Monterrey","Pachuca",47.51,47.02,0.4409,0.2902,0.2689,1.59,1.27,NA,NA,1,0,1.49,0.5,0.92,0.09,1.05,0,0,0,0
"59",2016,"2017-02-18",1975,"Mexican Primera Division Torneo Clausura","León","Santos Laguna",41.76,39.38,0.4699,0.2679,0.2622,1.68,1.26,NA,NA,2,2,1.15,2,1.61,1.68,2.1,2.1,0,0,0
"60",2016,"2017-02-18",1975,"Mexican Primera Division Torneo Clausura","Necaxa","Querétaro",39.85,36.55,0.4723,0.2323,0.2955,1.35,0.89,NA,NA,1,4,0.93,1.16,1.62,1.08,1.05,3.31,0,0,0
"61",2016,"2017-02-18",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Club América",42.09,45.24,0.4091,0.3058,0.2851,1.38,1.17,NA,NA,1,0,1.9,0.31,1.17,1,1.05,0,0,0,0
"62",2016,"2017-02-19",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Tijuana",41.55,45.24,0.4027,0.3196,0.2777,1.43,1.28,NA,NA,3,3,1.74,0.4,1.45,1.05,3.15,3.15,0,0,0
"63",2016,"2017-02-19",1975,"Mexican Primera Division Torneo Clausura","Puebla","Chiapas FC",35.12,32.98,0.478,0.2465,0.2755,1.54,1.14,NA,NA,3,0,1.59,0.27,1.24,0.56,2.76,0,0,0,0
"64",2016,"2017-02-24",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Monterrey",45.02,48.07,0.4179,0.3108,0.2714,1.52,1.33,NA,NA,2,0,1.07,1,0.63,0.6,2.1,0,0,0,0
"65",2016,"2017-02-25",1975,"Mexican Primera Division Torneo Clausura","Querétaro","Pumas Unam",38.82,42.11,0.4032,0.3157,0.2811,1.43,1.24,NA,NA,4,3,0.62,1.19,0.7,1.26,4.15,3.15,0,0,0
"66",2016,"2017-02-25",1975,"Mexican Primera Division Torneo Clausura","Atlas","León",37.59,41.1,0.4027,0.3248,0.2725,1.53,1.35,NA,NA,2,0,1.22,0.7,1.65,1.01,2.1,0,0,0,0
"67",2016,"2017-02-25",1975,"Mexican Primera Division Torneo Clausura","Tigres UANL","Morelia",45.96,36,0.5343,0.2032,0.2625,1.7,0.92,NA,NA,1,1,2.18,1.46,1.06,1.42,1.05,1.05,0,0,0
"68",2016,"2017-02-25",1975,"Mexican Primera Division Torneo Clausura","Pachuca","Veracruz",46.09,32.69,0.5626,0.1857,0.2517,1.84,0.9,NA,NA,1,0,1.72,0.36,1.01,0.68,1.05,0,0,0,0
"69",2016,"2017-02-25",1975,"Mexican Primera Division Torneo Clausura","Club América","Cruz Azul",44.26,41.52,0.4696,0.2559,0.2744,1.52,1.09,NA,NA,2,0,1.19,1.11,1.07,1.54,1.79,0,0,0,0
"70",2016,"2017-02-26",1975,"Mexican Primera Division Torneo Clausura","Toluca","Puebla",44.12,36.84,0.5128,0.2216,0.2656,1.67,1,NA,NA,1,3,2.71,3.52,1.34,1.65,1.05,2.89,0,0,0
"71",2016,"2017-02-26",1975,"Mexican Primera Division Torneo Clausura","Chiapas FC","Guadalajara",31.34,42.85,0.289,0.4114,0.2995,1.09,1.26,NA,NA,4,3,1.9,2.66,1.37,1.27,4.15,3.15,0,0,0
"72",2016,"2017-02-26",1975,"Mexican Primera Division Torneo Clausura","Santos Laguna","Necaxa",40.15,37.84,0.4707,0.2538,0.2754,1.52,1.12,NA,NA,2,2,1.49,0.49,2.24,1.08,2.1,2.1,0,0,0
"73",2016,"2017-03-03",1975,"Mexican Primera Division Torneo Clausura","Tijuana","Pachuca",45.86,46.17,0.435,0.2833,0.2818,1.42,1.13,NA,NA,2,3,0.94,1.7,2.06,0.96,2.1,3.06,0,0,0
"74",2016,"2017-03-04",1975,"Mexican Primera Division Torneo Clausura","Cruz Azul","Chiapas FC",40.98,32.57,0.5261,0.2079,0.2659,1.67,0.97,NA,NA,2,0,1.75,0.41,1.37,1.13,2.1,0,0,0,0
"75",2016,"2017-03-04",1975,"Mexican Primera Division Torneo Clausura","Morelia","Veracruz",36.82,32.41,0.4973,0.2396,0.263,1.71,1.18,NA,NA,1,0,1.65,0.33,1.49,0.66,1.05,0,0,0,0
"76",2016,"2017-03-04",1975,"Mexican Primera Division Torneo Clausura","Monterrey","Querétaro",47.01,39.08,0.516,0.2212,0.2629,1.68,1.03,NA,NA,4,1,2.16,1.16,1.21,0.85,3.52,1.05,0,0,0
"77",2016,"2017-03-04",1975,"Mexican Primera Division Torneo Clausura","León","Club América",39.8,44.72,0.3891,0.3386,0.2723,1.47,1.4,NA,NA,1,1,1.22,1.55,0.9,2.02,1.05,1.05,0,0,0
"78",2016,"2017-03-04",1975,"Mexican Primera Division Torneo Clausura","Necaxa","Atlas",37.78,38.74,0.4277,0.285,0.2873,1.39,1.12,NA,NA,1,1,1.13,0.98,1.26,1.81,1.05,1.05,0,0,0
"79",2016,"2017-03-04",1975,"Mexican Primera Division Torneo Clausura","Guadalajara","Toluca",42.07,42,0.4422,0.2767,0.2811,1.44,1.12,NA,NA,2,0,0.63,0.12,1.55,1.31,2.04,0,0,0,0
"80",2016,"2017-03-05",1975,"Mexican Primera Division Torneo Clausura","Pumas Unam","Santos Laguna",42.2,40.36,0.4644,0.2777,0.2579,1.74,1.35,NA,NA,2,1,2.34,2.52,1.66,1.81,2.1,1.05,0,0,0
