first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,season,now_cost,element_type
Antonio,Valencia,1,3,120,2483,20,614.8,547.2,243,9,612,140.6,12,0,5,12.4,16/17,NA,NA
Matteo,Darmian,0,0,70,1333,8,74,206,13,6,319,29.4,9,0,3,1,16/17,NA,NA
Cameron,Borthwick-Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Timothy,Fosu-Mensah,0,0,9,97,0,2.9,12.8,8,0,36,2.4,1,0,0,0.2,16/17,NA,NA
Daley,Blind,1,2,98,1830,17,426.6,534,122,14,525,108.2,9,0,2,4.7,16/17,NA,NA
Eric,Bailly,0,0,105,2058,15,31,481.2,98,14,542,61.2,13,0,4,8.3,16/17,NA,NA
Juan,Mata,6,3,102,1614,16,747.5,457.6,598,14,457,179.9,10,0,3,2,16/17,NA,NA
Marouane,Fellaini,1,0,48,1604,14,281.9,299,333,0,259,90.9,10,1,8,0.3,16/17,NA,NA
Memphis,Depay,0,0,3,24,1,1.8,1.2,4,0,6,0.7,0,0,1,0.2,16/17,NA,NA
Michael,Carrick,0,0,42,1601,14,209.3,288,48,0,297,54.5,5,0,2,1.7,16/17,NA,NA
Ashley,Young,0,1,26,760,6,167,147.4,61,1,154,37.6,4,0,2,0.1,16/17,NA,NA
Adnan,Januzaj,0,3,49,1628,38,470.8,226.2,364,0,158,106.4,3,1,3,0.5,16/17,NA,NA
Ander,Herrera,1,6,97,2465,18,720.8,593.2,276,11,559,159.2,13,1,5,2.2,16/17,NA,NA
Andreas,Pereira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Morgan,Schneiderlin,1,0,37,1073,14,112.3,216.2,90,1,214,42,5,0,2,0.4,16/17,NA,NA
Bastian,Schweinsteiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Jesse,Lingard,1,3,60,1360,12,522.3,229.4,439,3,227,118,7,0,3,0.8,16/17,NA,NA
Anthony,Martial,4,6,95,1553,13,399.1,382.8,579,9,302,136.2,9,0,2,2.5,16/17,NA,NA
Henrikh,Mkhitaryan,4,1,73,1348,8,512.2,325.8,427,3,279,126.2,10,0,1,2.1,16/17,NA,NA
Wayne,Rooney,5,5,76,1540,16,593.8,394.2,616,9,322,160.2,6,0,8,2.4,16/17,NA,NA
James,Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Marcus,Rashford,5,3,76,1712,15,411.4,316.2,734,2,287,145.5,7,0,3,10.6,16/17,NA,NA
Zlatan,Ibrahimovic,17,7,163,2438,22,775,807.8,1694,28,540,327.3,11,0,7,22.8,16/17,NA,NA
Dimitrios,Konstantopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,16/17,NA,NA
Víctor,Valdés,0,0,102,2520,36,0.3,607.6,2,10,493,61,8,0,1,4.3,16/17,NA,NA
Daniel,Ayala,1,0,31,918,16,10.4,220.8,166,0,174,39.8,3,0,3,0.1,16/17,NA,NA
George,Friend,0,3,59,1964,35,169.1,436,213,6,371,82,4,0,4,1.8,16/17,NA,NA
Dael,Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,16/17,NA,NA
Ben,Gibson,1,1,121,3420,53,55.7,818.4,248,14,682,112.2,11,0,4,8.8,16/17,NA,NA
Emilio,Nsue Lopez,0,0,10,320,5,31.9,47.6,38,0,49,11.9,1,0,0,0.2,16/17,NA,NA
Bernardo,Espinosa Zúniga,0,0,35,975,13,10,224.8,39,3,198,27.4,4,0,2,0.1,16/17,NA,NA
Albert,Adomah,0,0,3,122,2,20.5,8.4,33,0,6,6,0,0,0,0,16/17,NA,NA
Stewart,Downing,1,3,77,2214,39,566.9,324.6,283,3,364,117.7,7,0,1,0.4,16/17,NA,NA
Adam,Clayton,0,2,70,2804,45,323.3,454.6,71,0,427,84.8,10,0,10,0.8,16/17,NA,NA
Grant,Leadbitter,1,0,28,710,12,139.9,93.4,88,1,125,31.9,3,0,1,0,16/17,NA,NA
Adam,Reach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Adam,Forshaw,0,2,77,2695,36,511.6,275.6,240,3,401,102.5,9,0,4,0.4,16/17,NA,NA
Carlos,De Pena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,16/17,NA,NA
Julien,de Sart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16/17,NA,NA
Viktor,Fischer,0,3,25,438,6,121.7,82.6,165,0,91,37,1,0,0,0.2,16/17,NA,NA
Marten,de Roon,4,1,91,2773,44,245.8,370.6,390,5,399,100.1,8,0,8,1.8,16/17,NA,NA
David,Nugent,0,0,4,43,0,3.3,3.4,2,0,11,0.7,0,0,0,0.2,16/17,NA,NA
Jordan,Rhodes,0,0,8,211,2,28,21.6,104,0,21,15.4,0,0,0,0.2,16/17,NA,NA
