player,nation,pos,team_name,age,born,match_ply,starts,min,mp_90,goals_scored,assists,goals_assists,goals_pen_kicks,pen_kicks,pen_kicks_att,yellow_cards,red_cards,xg,npxg,xag,npxg_xag,prog_carries,prog_passes,prog_rec,goals_90,assists_90,goals_assists_90,goals_pen_kicks_90,goals_assists_pen_kicks_90,xg_90,xag_90,xg_xag_90,npxg_90,npxg_xag_90,season,gk_goals_against,gk_goals_against_90,gk_shots_target_against,gk_saves,gk_saves_perc,gk_clean_sheets,gk_clean_sheets_perc,gk_pen_kicks_att,gk_pen_kicks_allowed,gk_pen_kicks_saved,gk_pen_kicks_missed,gk_pen_kicks_saved_perc
Wilfried Bony,CIV,FW,Stoke City,27,1988,10,9,684,7.6,2,0,2,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.26,0,0.26,0.26,0.26,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabio Borini,ITA,FW,Sunderland,25,1991,24,19,1741,19.3,2,0,2,2,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artur Boruc,POL,GK,AFC Bournemouth,36,1980,35,35,3150,35,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,63,1.8,176,113,65.3,9,25.7,4,2,2,0,50
Sofiane Boufal,MAR,FW,Southampton,22,1993,24,12,1104,12.3,1,1,2,1,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0.08,0.08,0.16,0.08,0.16,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrod Bowen,ENG,MF,Hull City,19,1996,7,1,181,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Boyd,SCO,MF,Burnley,30,1985,36,33,2836,31.5,2,1,3,2,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.03,0.1,0.06,0.1,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Brady,IRL,MF,Burnley,24,1992,14,7,719,8,1,2,3,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.13,0.25,0.38,0.13,0.38,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claudio Bravo,CHI,GK,Manchester City,33,1983,22,22,1968,21.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,26,1.19,60,34,56.7,5,22.7,1,0,1,0,100
Miguel Britos,URU,DF,Watford,31,1985,27,27,2282,25.4,1,2,3,1,0,0,8,4,NA,NA,NA,NA,NA,NA,NA,0.04,0.08,0.12,0.04,0.12,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leon Britton,ENG,MF,Swansea City,33,1982,16,16,1163,12.9,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Brunt,NIR,MF,West Brom,31,1984,31,27,2477,27.5,3,4,7,3,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,0.11,0.15,0.25,0.11,0.25,NA,NA,NA,NA,NA,16/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
